col_name,feat_imp,norm_feat_imp,direction
s_plan_duration,0.008981903470278095,1.0,-
i_type_New Feature,0.006673759414950962,0.7430228388709604,-
i_type_Improvement,0.005678862539265379,0.6322560199023772,-
d_no_distinct_action,0.0031058360856516605,0.3457881835324933,+
i_priority_Critical,0.0025912259407933117,0.2884940758234493,+
s_no_issue,0.002397413419711079,0.2669159635977307,-
d_developer_activeness,0.0017961503664874784,0.19997435648591605,+
d_most_prefer_type_Bug,0.001653244222949686,0.18406390454099353,+
i_priority_Blocker,0.0016451442889432173,0.1831620985893629,-
d_most_prefer_type_New Feature,0.0015209081023982232,0.1693302658429854,+
s_no_teammember,0.0014977162254600136,0.16674819879951813,-
i_no_comments,0.0009148412513580139,0.10185382802045287,-
d_most_prefer_type_Task,0.0004272188430240048,0.04756439928771327,-
d_most_prefer_type_Improvement,0.0003887287413182466,0.043279104769338037,-
i_no_component,0.0003190320302368693,0.03551942317044201,-
i_type_Task,0.0003004533287184317,0.03345096389787065,-
d_no_comment,0.0002228722735839711,0.02481347904945482,-
d_most_prefer_type_Na,0.00021339551783050933,0.02375838468278509,+
i_priority_Minor,0.0002111625370697495,0.02350977582519171,+
i_no_change_priority,0.00017869170559188567,0.019894636608286,-
i_no_change_fix,0.00011368999141537088,0.012657672373298266,+
d_most_prefer_type_Sub-task,0.00010932015902801416,0.01217115719287834,+
i_priority_Major,8.857472274731878e-05,0.0098614645593131,+
d_most_prefer_type_Story,8.223991766407732e-06,0.0009156179192552715,+
i_fog_index,4.620642839412795e-06,0.0005144391558763582,-
i_no_change_description,0.0,0.0,+
d_most_prefer_type_Epic,0.0,0.0,+
i_type_Blog - New Blog Request,0.0,0.0,+
i_priority_Trivial,0.0,0.0,+
i_type_Umbrella,0.0,0.0,+
d_most_prefer_type_Documentation,0.0,0.0,+
i_type_Dependency upgrade,0.0,0.0,+
i_type_Documentation,0.0,0.0,+
i_type_Epic,0.0,0.0,+
i_type_Story,0.0,0.0,+
i_type_Test,0.0,0.0,+
d_most_prefer_type_Wish,0.0,0.0,+
d_most_prefer_type_Test,0.0,0.0,+
i_type_Wish,0.0,0.0,+
d_most_prefer_type_Suitable Name Search,0.0,0.0,+
i_type_Bug,0.0,0.0,+
