col_name,feat_imp,norm_feat_imp,direction
s_plan_duration,0.017394223867693057,0.9999999999999999,-
i_type_New Feature,0.008405475682973831,0.4832337301686473,-
i_priority_Major,0.0050143588182015785,0.2882772382569443,-
i_priority_Critical,0.004410052500033348,0.2535354571481803,+
d_no_comment,0.0037845003059573524,0.21757224321956936,+
i_fog_index,0.00280934279024306,0.16151009735254457,-
i_type_Improvement,0.001760929152231275,0.10123643145135751,-
d_developer_activeness,0.0017214272378396765,0.09896545260849193,+
s_no_teammember,0.0013467904659851455,0.07742745386223238,+
i_no_change_priority,0.001175052203201662,0.06755416120544076,+
i_priority_Blocker,0.0009043743883940241,0.051992799177073515,+
i_no_component,0.0008324524965631681,0.047857984518028036,+
i_no_comments,0.000777747497337633,0.04471297502282769,-
d_most_prefer_type_Bug,0.0007733410403651535,0.04445964627381327,+
s_no_issue,0.0005841297597630406,0.03358182372528657,+
d_most_prefer_type_Story,0.0004273496119122533,0.024568478315723286,-
d_most_prefer_type_Task,0.0004228256428567797,0.0243083937560508,-
i_priority_Minor,0.0004115460120219677,0.02365992384324474,+
d_no_distinct_action,0.0003967777430104822,0.02281089090427497,-
d_most_prefer_type_New Feature,0.0003538508393127846,0.02034300823102576,-
d_most_prefer_type_Improvement,0.00028093753326279675,0.01615119682256088,+
d_most_prefer_type_Na,0.00024082434198199323,0.013845075458025194,-
i_type_Task,0.00021902339987794162,0.012591731688859195,-
d_most_prefer_type_Sub-task,9.280543551389672e-05,0.005335416872854427,-
i_no_change_fix,2.341434406212353e-05,0.0013460988107444028,+
i_no_change_description,0.0,0.0,+
i_type_Dependency upgrade,0.0,0.0,+
i_type_Story,0.0,0.0,+
d_most_prefer_type_Epic,0.0,0.0,+
i_type_Bug,0.0,0.0,+
i_type_Epic,0.0,0.0,+
i_type_Test,0.0,0.0,+
i_type_Umbrella,0.0,0.0,+
i_type_Wish,0.0,0.0,+
d_most_prefer_type_Documentation,0.0,0.0,+
i_priority_Trivial,0.0,0.0,+
i_type_Blog - New Blog Request,0.0,0.0,+
d_most_prefer_type_Wish,0.0,0.0,+
d_most_prefer_type_Test,0.0,0.0,+
d_most_prefer_type_Suitable Name Search,0.0,0.0,+
i_type_Documentation,0.0,0.0,+
