col_name,feat_imp,norm_feat_imp,direction
i_type_Improvement,0.008058460466732836,1.0,-
i_priority_Major,0.006313559975682888,0.7834697460819848,-
s_plan_duration,0.005964787816884339,0.7401894991615762,-
s_no_issue,0.0042759147455974054,0.5306118660318999,+
i_priority_Minor,0.0037518022330896394,0.46557307671582376,+
i_fog_index,0.0032836573642419553,0.40747949038127596,+
i_no_component,0.0014204406257106634,0.1762669968506474,-
d_most_prefer_type_Improvement,0.001276937999515714,0.15845929936458775,-
i_no_change_description,0.0006376211581912636,0.07912443832460421,+
d_no_distinct_action,0.0005999935672855187,0.07445511084436403,+
s_no_teammember,0.0005956731244387624,0.07391897334457828,-
d_no_comment,0.00045106647838428354,0.05597427452134175,-
i_no_comments,0.000373013212097864,0.04628839635532714,+
d_most_prefer_type_Na,0.0003464423007498371,0.04299112742192259,+
i_type_Bug,0.00012718926111135497,0.015783320106417507,+
d_developer_activeness,8.301604696405124e-05,0.010301725411045997,-
d_most_prefer_type_Bug,7.943673458475521e-05,0.009857557149121496,+
i_type_Task,6.683788988405452e-05,0.008294126422779708,-
i_type_Epic,0.0,0.0,+
i_type_Story,0.0,0.0,+
i_priority_Medium,0.0,0.0,+
i_priority_Blocker,0.0,0.0,+
d_most_prefer_type_Task,0.0,0.0,+
i_priority_Highest,0.0,0.0,+
d_most_prefer_type_New Feature,0.0,0.0,+
i_priority_Critical,0.0,0.0,+
d_most_prefer_type_Epic,0.0,0.0,+
i_type_New Feature,0.0,0.0,+
i_no_change_fix,0.0,0.0,+
i_no_change_priority,0.0,0.0,+
i_priority_High,0.0,0.0,+
i_priority_Trivial,0.0,0.0,+
d_most_prefer_type_Story,0.0,0.0,+
