col_name,feat_imp,norm_feat_imp,direction
d_most_prefer_type_Na,0.008594593207434588,1.0,+
s_no_teammember,0.0036126807755789744,0.4203434285236321,-
d_most_prefer_type_Bug,0.0030473655270859684,0.3545677443406982,+
d_developer_activeness,0.0023942761999975774,0.2785793512514885,+
s_no_issue,0.002107392446894533,0.24519978968540057,+
d_no_distinct_action,0.0015675640018003975,0.18238955165957202,+
i_no_change_priority,0.00148896764308263,0.17324469083593477,+
i_no_comments,0.0014644664217243514,0.1703939193372809,+
i_no_change_description,0.0011187388518568591,0.1301677490551985,+
i_no_component,0.0009069353440904469,0.10552394071495087,+
i_priority_Medium,0.0008950496525095792,0.10414101411284175,-
i_type_Bug,0.0007336216576634134,0.08535850853636773,-
i_priority_High,0.0007063268245850218,0.08218269411215731,+
d_no_comment,0.0003991127052889603,0.046437649305346475,+
i_priority_Highest,0.00038016576037090515,0.044233130201211855,+
i_priority_Low,0.0003473223449391086,0.040411725902124614,+
i_no_change_fix,0.00033522154446830065,0.039003770903121245,+
d_most_prefer_type_Suggestion,0.0002698437538375452,0.031396919822118174,+
s_plan_duration,0.00017463411351189133,0.02031906680130334,-
i_fog_index,0.0001475820314373836,0.01717149699531103,+
i_type_Suggestion,9.639063729624916e-05,0.011215264640200572,+
i_priority_Major,0.0,0.0,+
d_most_prefer_type_Sub-task,0.0,0.0,+
i_priority_Critical,0.0,0.0,+
i_priority_Blocker,0.0,0.0,+
i_priority_Minor,0.0,0.0,+
i_priority_Trivial,0.0,0.0,+
