col_name,feat_imp,norm_feat_imp,direction
i_priority_High,0.000955953595598757,0.9999999999999999,-
d_most_prefer_type_Na,0.0009400397760935848,0.9833529372362424,+
i_priority_Low,0.0007608456181462555,0.7959022505372799,+
d_most_prefer_type_Bug,0.0006299087000801387,0.6589322985762697,+
i_no_change_priority,0.00041005067170015233,0.42894411777730596,-
d_no_distinct_action,0.0003721231227221716,0.38926902355453147,+
d_no_comment,0.000361998959223369,0.3786783803000737,-
i_priority_Medium,0.00033882577740033807,0.35443747370196993,-
i_no_change_description,0.00031123458995573863,0.32557499797968575,-
i_priority_Highest,0.0002098202670653402,0.21948792078544382,+
s_no_teammember,0.00017022307691843188,0.17806625520542496,-
i_no_change_fix,0.00015794729934627587,0.16522486036296177,+
i_no_component,0.0001052614892865044,0.11011150517256474,+
d_most_prefer_type_Suggestion,8.780843764112994e-05,0.09185428879121642,-
i_priority_Minor,7.865030609756394e-05,0.0822741882656989,-
i_type_Suggestion,7.666169637342192e-05,0.08019395159595087,-
s_plan_duration,7.2371348333409e-05,0.07570592198890108,-
i_fog_index,7.21678886946107e-05,0.07549308776793573,+
i_priority_Trivial,6.896509938681735e-05,0.07214272712016045,+
i_priority_Major,6.462540036628583e-05,0.06760307264267154,+
d_most_prefer_type_Sub-task,3.35905376028009e-05,0.03513825122626546,+
d_developer_activeness,2.45525394744748e-05,0.02568381936896888,+
i_priority_Critical,1.924456322523228e-05,0.020131273436111232,+
s_no_issue,1.5980933219744912e-05,0.016717268801876652,-
i_type_Bug,4.909172984647826e-06,0.005135367456380545,+
i_no_comments,6.298314030402111e-07,0.0006588514400071053,-
i_priority_Blocker,0.0,0.0,+
