col_name,feat_imp,norm_feat_imp
s_plan_duration,0.010694792004540708,1.0
s_no_teammember,0.004122451745888983,0.38546348018163473
s_no_issue,0.0039013167876041656,0.364786597621326
d_no_distinct_action,0.002668333035049839,0.24949835713653337
d_developer_activeness,0.0023063307363721426,0.21564989159143436
d_no_comment,0.002085911710569751,0.1950399511915829
i_type_Story,0.0014322197405696312,0.13391749366996114
i_fog_index,0.0013955243255005883,0.13048634558840302
i_no_comments,0.0009931371983205731,0.0928617590598223
i_priority_Minor,0.0005298448262432081,0.04954232172240946
i_type_Bug,0.00029331223214204045,0.027425707018659956
i_no_component,0.00018415861554075356,0.01721946677060807
i_priority_Major,9.36819586359866e-05,0.008759586777958083
i_type_Task,9.17522551452029e-05,0.008579152834973085
d_most_prefer_type_Task,8.883375812604786e-05,0.008306263281074708
i_type_New Feature,6.426476914936421e-05,0.0060089779326310605
d_most_prefer_type_Improvement,6.145741368957476e-05,0.005746480498496995
d_most_prefer_type_Bug,3.366326800172354e-05,0.003147631855526603
d_most_prefer_type_Na,0.0,0.0
d_most_prefer_type_New Feature,0.0,0.0
d_most_prefer_type_Story,0.0,0.0
d_most_prefer_type_Epic,0.0,0.0
i_priority_Blocker,0.0,0.0
i_priority_Trivial,0.0,0.0
i_priority_Critical,0.0,0.0
i_type_Improvement,0.0,0.0
i_type_Epic,0.0,0.0
i_no_change_fix,0.0,0.0
i_no_change_priority,0.0,0.0
i_no_change_description,0.0,0.0
d_most_prefer_type_Technical task,0.0,0.0
