col_name,feat_imp,norm_feat_imp,direction
i_type_Work Item,0.0035761578102337537,1.0,+
s_plan_duration,0.001548556470983912,0.43302240928866936,+
d_most_prefer_type_Work Item,0.001481706865719527,0.4143292730201624,-
i_no_change_fix,0.0014659530330503085,0.40992403323344595,-
i_priority_Minor,0.0010373359260786306,0.2900699524808794,+
d_most_prefer_type_Backlog Task,0.0009961186796103789,0.278544385474216,-
i_no_component,0.0008775950709640752,0.24540166221207999,-
d_most_prefer_type_Bug,0.0008165099999868622,0.22832046104069761,+
i_no_comments,0.0004733058983359765,0.13235039487953668,-
d_most_prefer_type_Na,0.0004310233117092271,0.12052692710477828,+
s_no_issue,0.0003829644371995057,0.10708823757821624,-
i_type_New Feature,0.0003556376298462321,0.0994468501441736,-
d_developer_activeness,0.0003271087097062943,0.09146931625059158,+
i_type_Bug,0.00029677103225621585,0.08298600006044408,-
d_most_prefer_type_New Feature,0.0002476644966399423,0.06925435335409705,-
i_priority_Major,0.0002470514024337754,0.06908291399411902,+
i_priority_Critical,0.00024559921815093486,0.06867684011262395,-
d_no_distinct_action,0.00024055400249871554,0.06726604788254349,-
i_no_change_priority,0.00023735176895713702,0.06637060822034099,+
s_no_teammember,0.00017989374555230244,0.05030363733879624,+
d_no_comment,0.0001516842181191426,0.04241541513774188,-
i_no_change_description,5.272630022142923e-05,0.014743840462113949,-
i_fog_index,4.142319482454416e-05,0.01158315628745605,+
i_type_Epic,0.0,0.0,+
d_most_prefer_type_Epic,0.0,0.0,+
i_priority_Blocker,0.0,0.0,+
i_priority_Trivial,0.0,0.0,+
