2025-03-15 21:50:10,202 - INFO - Processing repositories: jenkins, jira, spring, talendforge
2025-03-15 21:50:10,205 - INFO - 
Processing JENKINS
2025-03-15 21:50:10,207 - ERROR - Error processing jenkins: 'Pipeline' object has no attribute 'mysql_validator'
2025-03-15 21:50:10,209 - INFO - 
Processing JIRA
2025-03-15 21:50:10,211 - ERROR - Error processing jira: 'Pipeline' object has no attribute 'mysql_validator'
2025-03-15 21:50:10,213 - INFO - 
Processing SPRING
2025-03-15 21:50:10,214 - ERROR - Error processing spring: 'Pipeline' object has no attribute 'mysql_validator'
2025-03-15 21:50:10,218 - INFO - 
Processing TALENDFORGE
2025-03-15 21:50:10,220 - ERROR - Error processing talendforge: 'Pipeline' object has no attribute 'mysql_validator'
2025-03-15 22:00:46,369 - INFO - MySQL connection successful
2025-03-15 22:00:46,373 - INFO - Processing repositories: jenkins, jira, spring, talendforge
2025-03-15 22:00:46,376 - INFO - 
Processing JENKINS
2025-03-15 22:00:46,446 - INFO - MySQL connection successful
2025-03-15 22:00:52,920 - INFO - Epoch 1: Train Loss = 49.4853, Val Loss = 1.0587
2025-03-15 22:00:59,268 - INFO - Epoch 2: Train Loss = 3.0175, Val Loss = 0.2478
2025-03-15 22:01:05,802 - INFO - Epoch 3: Train Loss = 1.4925, Val Loss = 0.1923
2025-03-15 22:01:12,623 - INFO - Epoch 4: Train Loss = 1.2345, Val Loss = 0.2015
2025-03-15 22:01:21,301 - INFO - Epoch 5: Train Loss = 1.0017, Val Loss = 0.1440
2025-03-15 22:01:28,256 - INFO - Epoch 6: Train Loss = 0.9638, Val Loss = 0.1366
2025-03-15 22:01:36,444 - INFO - Epoch 7: Train Loss = 0.8731, Val Loss = 0.1295
2025-03-15 22:01:45,731 - INFO - Epoch 8: Train Loss = 0.8142, Val Loss = 0.1537
2025-03-15 22:01:56,914 - INFO - Epoch 9: Train Loss = 0.7987, Val Loss = 0.1271
2025-03-15 22:02:03,478 - INFO - Epoch 10: Train Loss = 0.7549, Val Loss = 0.1145
2025-03-15 22:02:10,543 - INFO - Epoch 11: Train Loss = 0.7007, Val Loss = 0.1421
2025-03-15 22:02:16,991 - INFO - Epoch 12: Train Loss = 0.6822, Val Loss = 0.1292
2025-03-15 22:02:23,086 - INFO - Epoch 13: Train Loss = 0.6557, Val Loss = 0.1435
2025-03-15 22:02:31,869 - INFO - Epoch 14: Train Loss = 0.6707, Val Loss = 0.1583
2025-03-15 22:02:39,210 - INFO - Epoch 15: Train Loss = 0.6420, Val Loss = 0.1469
2025-03-15 22:02:45,037 - INFO - Epoch 16: Train Loss = 0.6221, Val Loss = 0.1718
2025-03-15 22:02:50,202 - INFO - Epoch 17: Train Loss = 0.6108, Val Loss = 0.1358
2025-03-15 22:02:55,385 - INFO - Epoch 18: Train Loss = 0.5741, Val Loss = 0.1491
2025-03-15 22:03:01,052 - INFO - Epoch 19: Train Loss = 0.6018, Val Loss = 0.1250
2025-03-15 22:03:06,203 - INFO - Epoch 20: Train Loss = 0.5913, Val Loss = 0.1631
2025-03-15 22:03:11,544 - INFO - Epoch 21: Train Loss = 0.6170, Val Loss = 0.1507
2025-03-15 22:03:16,734 - INFO - Epoch 22: Train Loss = 0.6586, Val Loss = 0.1315
2025-03-15 22:03:21,962 - INFO - Epoch 23: Train Loss = 0.6438, Val Loss = 0.1265
2025-03-15 22:03:27,113 - INFO - Epoch 24: Train Loss = 0.6081, Val Loss = 0.1438
2025-03-15 22:03:32,255 - INFO - Epoch 25: Train Loss = 0.5799, Val Loss = 0.1413
2025-03-15 22:03:37,440 - INFO - Epoch 26: Train Loss = 0.5949, Val Loss = 0.1396
2025-03-15 22:03:42,575 - INFO - Epoch 27: Train Loss = 0.7115, Val Loss = 0.1395
2025-03-15 22:03:47,801 - INFO - Epoch 28: Train Loss = 0.5677, Val Loss = 0.1323
2025-03-15 22:03:52,923 - INFO - Epoch 29: Train Loss = 0.5361, Val Loss = 0.1375
2025-03-15 22:03:58,232 - INFO - Epoch 30: Train Loss = 0.5285, Val Loss = 0.1277
2025-03-15 22:04:03,560 - INFO - Epoch 31: Train Loss = 0.5247, Val Loss = 0.1454
2025-03-15 22:04:08,724 - INFO - Epoch 32: Train Loss = 0.5541, Val Loss = 0.1138
2025-03-15 22:04:15,660 - INFO - Epoch 33: Train Loss = 0.5384, Val Loss = 0.1247
2025-03-15 22:04:21,960 - INFO - Epoch 34: Train Loss = 0.5566, Val Loss = 0.1088
2025-03-15 22:04:28,299 - INFO - Epoch 35: Train Loss = 0.5076, Val Loss = 0.1254
2025-03-15 22:04:33,542 - INFO - Epoch 36: Train Loss = 0.4637, Val Loss = 0.1197
2025-03-15 22:04:38,700 - INFO - Epoch 37: Train Loss = 0.4788, Val Loss = 0.1353
2025-03-15 22:04:43,832 - INFO - Epoch 38: Train Loss = 0.4382, Val Loss = 0.1173
2025-03-15 22:04:49,043 - INFO - Epoch 39: Train Loss = 0.4528, Val Loss = 0.1190
2025-03-15 22:04:54,178 - INFO - Epoch 40: Train Loss = 0.4375, Val Loss = 0.1104
2025-03-15 22:05:00,091 - INFO - Epoch 41: Train Loss = 0.5473, Val Loss = 0.1125
2025-03-15 22:05:05,509 - INFO - Epoch 42: Train Loss = 0.6142, Val Loss = 0.1292
2025-03-15 22:05:10,910 - INFO - Epoch 43: Train Loss = 0.4706, Val Loss = 0.1223
2025-03-15 22:05:16,047 - INFO - Epoch 44: Train Loss = 0.3925, Val Loss = 0.1237
2025-03-15 22:05:21,339 - INFO - Epoch 45: Train Loss = 0.3926, Val Loss = 0.1195
2025-03-15 22:05:26,484 - INFO - Epoch 46: Train Loss = 0.4068, Val Loss = 0.1273
2025-03-15 22:05:31,643 - INFO - Epoch 47: Train Loss = 0.3903, Val Loss = 0.1425
2025-03-15 22:05:36,824 - INFO - Epoch 48: Train Loss = 0.3247, Val Loss = 0.1122
2025-03-15 22:05:42,057 - INFO - Epoch 49: Train Loss = 0.3944, Val Loss = 0.1094
2025-03-15 22:05:47,345 - INFO - Epoch 50: Train Loss = 0.3890, Val Loss = 0.1295
2025-03-15 22:05:51,306 - INFO - 
Processing JIRA
2025-03-15 22:05:51,360 - INFO - MySQL connection successful
2025-03-15 22:06:03,992 - INFO - Epoch 1: Train Loss = 5556.7873, Val Loss = 2.9011
2025-03-15 22:06:15,708 - INFO - Epoch 2: Train Loss = 871.9363, Val Loss = 8.6301
2025-03-15 22:06:26,651 - INFO - Epoch 3: Train Loss = 511.0281, Val Loss = 12.1535
2025-03-15 22:06:37,734 - INFO - Epoch 4: Train Loss = 29.4358, Val Loss = 2.9880
2025-03-15 22:06:48,222 - INFO - Epoch 5: Train Loss = 3.1710, Val Loss = 2.9403
2025-03-15 22:06:59,103 - INFO - Epoch 6: Train Loss = 4.6116, Val Loss = 2.3447
2025-03-15 22:07:12,600 - INFO - Epoch 7: Train Loss = 32.2042, Val Loss = 2.4774
2025-03-15 22:07:23,697 - INFO - Epoch 8: Train Loss = 4.5182, Val Loss = 2.6953
2025-03-15 22:07:34,509 - INFO - Epoch 9: Train Loss = 47.1544, Val Loss = 2.3910
2025-03-15 22:07:45,397 - INFO - Epoch 10: Train Loss = 3.9466, Val Loss = 2.2906
2025-03-15 22:07:57,693 - INFO - Epoch 11: Train Loss = 38.5470, Val Loss = 2.4985
2025-03-15 22:08:10,666 - INFO - Epoch 12: Train Loss = 2.3926, Val Loss = 2.3469
2025-03-15 22:08:21,681 - INFO - Epoch 13: Train Loss = 4.2506, Val Loss = 2.4390
2025-03-15 22:08:32,764 - INFO - Epoch 14: Train Loss = 7.4730, Val Loss = 2.2844
2025-03-15 22:08:45,446 - INFO - Epoch 15: Train Loss = 2.6043, Val Loss = 2.1167
2025-03-15 22:08:58,470 - INFO - Epoch 16: Train Loss = 40.1781, Val Loss = 2.4656
2025-03-15 22:09:09,892 - INFO - Epoch 17: Train Loss = 9.5783, Val Loss = 2.3625
